 Year,Make,Vehicle Class,Engine_Size_L,Cylinders,Transmission,Fuel_Type,FC_City ,FC_Hwy,FC_Comb,Comb_mpg,CO2_Emissions,CO2_Rating,Smog_Rating
2021,Acura,Compact,2.4,4,AM8,Z,9.9,7,8.6,33,199,6,3
2021,Acura,Twoseater,3.5,6,AM9,Z,11.1,10.8,11,26,256,4,3
2021,Acura,SUVSmall,2,4,AS10,Z,11,8.6,9.9,29,232,5,6
2021,Acura,SUVSmall,2,4,AS10,Z,11.3,9.1,10.3,27,242,5,6
2021,Acura,Compact,2,4,AS10,Z,11.2,8,9.8,29,230,5,7
2021,Acura,Compact,2,4,AS10,Z,11.3,8.1,9.8,29,231,5,7
2021,Alfa Romeo,Midsize,2,4,A8,Z,10,7.2,8.7,32,205,6,3
2021,Alfa Romeo,Midsize,2,4,A8,Z,10.5,7.7,9.2,31,217,5,3
2021,Alfa Romeo,Midsize,2.9,6,A8,Z,13.5,9.3,11.6,24,271,4,3
2021,Alfa Romeo,SUVSmall,2,4,A8,Z,10.3,8.1,9.3,30,218,5,3
2021,Alfa Romeo,SUVSmall,2,4,A8,Z,10.8,8.3,9.6,29,226,5,3
2021,Alfa Romeo,SUVSmall,2.9,6,A8,Z,13.9,10.3,12.3,23,288,3,3
2021,Aston Martin,Minicompact,4,8,A8,Z,13,9.8,11.5,25,271,4,3
2021,Aston Martin,Minicompact,5.2,12,A8,Z,15.5,10.6,13.3,21,312,3,3
2021,Aston Martin,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324,3,3
2021,Aston Martin,SUVStandard,4,8,A9,Z,17.1,12.8,15.2,19,357,2,3
2021,Aston Martin,Twoseater,4,8,A8,Z,13.1,9.6,11.5,25,270,4,3
2021,Aston Martin,Twoseater,4,8,M7,Z,16.7,11.2,14.2,20,333,3,3
2021,Audi,Station wagon: Small,2,4,AM7,Z,9.8,7.9,8.9,32,208,6,5
2021,Audi,Compact,2,4,AM7,Z,9.3,7,8.3,34,194,6,5
2021,Audi,Compact,2,4,AM7,Z,9.8,7.6,8.8,32,205,6,5
2021,Audi,Subcompact,2,4,AM7,Z,10.4,7.5,9.1,31,212,5,5
2021,Audi,Subcompact,2,4,AM7,Z,9.8,7.6,8.8,32,205,6,5
2021,Audi,Midsize,2,4,AM7,Z,9.8,7.6,8.8,32,205,6,5
2021,Audi,Station wagon: Midsize,3,6,AM7,Z,11.8,9.1,10.6,27,247,4,5
2021,Audi,Midsize,2,4,AM7,Z,10.3,7.8,9.2,31,214,5,5
2021,Audi,Midsize,3,6,AM7,Z,10.9,8.2,9.7,29,227,5,5
2021,Audi,Midsize,3,6,AM7,Z,10.9,8.2,9.7,29,227,5,5
2021,Audi,Full-size,3,6,AS8,Z,13.5,8.9,11.5,25,267,4,5
2021,Audi,Full-size,4,8,AS8,Z,15.4,10.4,13.2,21,308,3,3
2021,Audi,SUVSmall,2,4,AS8,X,10.6,7.7,9.3,30,218,5,7
2021,Audi,SUVSmall,2,4,AS8,X,11.7,8.4,10.2,28,239,5,7
2021,Audi,SUVSmall,2,4,AM7,Z,10.1,8.3,9.3,30,217,5,5
2021,Audi,SUVSmall,2,4,AM7,Z,10.1,8.3,9.3,30,217,5,5
2021,Audi,SUVStandard,2,4,AS8,Z,12.4,10.1,11.3,25,264,4,3
2021,Audi,SUVStandard,3,6,AS8,Z,13.4,10.4,12,24,281,4,5
2021,Audi,SUVStandard,3,6,AS8,Z,13.4,10.4,12,24,281,4,5
2021,Audi,Twoseater,5.2,10,AM7,Z,17.2,10.2,14.1,20,329,3,1
2021,Audi,Twoseater,5.2,10,AM7,Z,17.6,12,15.1,19,353,2,1
2021,Audi,Twoseater,5.2,10,AM7,Z,17.2,10.2,14.1,20,329,3,1
2021,Audi,Twoseater,5.2,10,AM7,Z,17.6,12,15.1,19,353,2,1
