MODELYEAR,MAKE,CARLINECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELCONSUMPTION_COB,CO2_EMISSION
2021,Honda,Two Seaters,3.5,6,Auto(AM-S9),21,420
2021,aston martin,Two Seaters,4.0,8,Manual(M7),17,541
2021,aston martin,Two Seaters,4.0,8,Auto(S8),20,435
2021,Volkswagen Group of,Two Seaters,5.2,10,Auto(AM-S7),16,567
2021,Volkswagen Group of,Two Seaters,5.2,10,Auto(AM-S7),17,528
2021,Volkswagen Group of,Two Seaters,5.2,10,Auto(AM-S7),16,567
2021,Volkswagen Group of,Two Seaters,5.2,10,Auto(AM-S7),17,528
2021,Volkswagen Group of,Two Seaters,2.0,4,Auto(AM-S7),26,344
2021,BMW,Two Seaters,3.0,6,Auto(S8),25,355
2021,BMW,Two Seaters,2.0,4,Auto(S8),28,321
2021,Volkswagen Group of,Two Seaters,8.0,16,Auto(AM-S7),11,840
2021,Volkswagen Group of,Two Seaters,8.0,16,Auto(AM-S7),10,893
2021,General Motors,Two Seaters,6.2,8,Auto(S8),19,467
2021,Ferrari,Two Seaters,6.5,12,Auto(AM7),13,665
2021,Ferrari,Two Seaters,6.5,12,Auto(AM7),13,661
2021,Ferrari,Two Seaters,3.9,8,Auto(AM7),16,552
2021,Ferrari,Two Seaters,3.9,8,Auto(AM7),16,541
2021,Ford Motor Company,Two Seaters,3.5,6,Auto(AM7),14,632
2021,Jaguar Land Rover L,Two Seaters,2.0,4,Auto(S8),26,346
2021,Jaguar Land Rover L,Two Seaters,2.0,4,Auto(S8),26,346
2021,Jaguar Land Rover L,Two Seaters,5.0,8,Auto(S8),18,481
2021,Jaguar Land Rover L,Two Seaters,5.0,8,Auto(S8),18,481
2021,Jaguar Land Rover L,Two Seaters,3.0,6,Auto(S8),21,426
2021,Jaguar Land Rover L,Two Seaters,3.0,6,Auto(S8),21,426
2021,Jaguar Land Rover L,Two Seaters,3.0,6,Auto(S8),22,407
2021,Jaguar Land Rover L,Two Seaters,3.0,6,Auto(S8),22,407
2021,Volkswagen Group of,Two Seaters,6.5,12,Auto(AM-S7),10,852
2021,Volkswagen Group of,Two Seaters,6.5,12,Auto(AM-S7),10,839
2021,Volkswagen Group of,Two Seaters,6.5,12,Auto(AM-S7),10,867
2021,Volkswagen Group of,Two Seaters,6.5,12,Auto(AM-S7),10,867
2021,Volkswagen Group of,Two Seaters,5.2,10,Auto(AM-S7),15,597
2021,Volkswagen Group of,Two Seaters,5.2,10,Auto(AM-S7),15,596
2021,Volkswagen Group of,Two Seaters,5.2,10,Auto(AM-S7),15,597
2021,Volkswagen Group of,Two Seaters,5.2,10,Auto(AM-S7),15,596
2021,MAZDA,Two Seaters,2.0,4,Auto(S6),30,299
2021,MAZDA,Two Seaters,2.0,4,Manual(M6),29,305
2021,McLaren Automotive ,Two Seaters,4.0,8,Auto(AM-S7),16,565
2021,McLaren Automotive ,Two Seaters,4.0,8,Auto(AM-S7),18,505
2021,McLaren Automotive ,Two Seaters,4.0,8,Auto(AM-S7),18,505
2021,McLaren Automotive ,Two Seaters,4.0,8,Auto(AM-S7),18,505
2021,McLaren Automotive ,Two Seaters,4.0,8,Auto(AM-S7),18,501
2021,McLaren Automotive ,Two Seaters,4.0,8,Auto(AM-S7),18,504
2021,Mercedes-Benz,Two Seaters,4.0,8,Auto(AM7),17,527
2021,Mercedes-Benz,Two Seaters,4.0,8,Auto(AM7),17,533
2021,Mercedes-Benz,Two Seaters,4.0,8,Auto(AM7),17,528
2021,Mercedes-Benz,Two Seaters,4.0,8,Auto(AM7),17,534
2021,Mercedes-Benz,Two Seaters,4.0,8,Auto(AM7),17,531
2021,Mercedes-Benz,Two Seaters,4.0,8,Auto(AM7),16,545
2021,Nissan,Two Seaters,3.7,6,Manual(M6),20,445
2021,Porsche,Two Seaters,2.0,4,Auto(AM-S7),24,375
2021,Porsche,Two Seaters,2.0,4,Manual(M6),22,394
2021,Porsche,Two Seaters,4.0,6,Auto(AM-S7),21,418
2021,Porsche,Two Seaters,4.0,6,Manual(M6),19,458
2021,Porsche,Two Seaters,2.5,4,Auto(AM-S7),22,410
2021,Porsche,Two Seaters,2.5,4,Manual(M6),21,423
2021,Porsche,Two Seaters,2.0,4,Auto(AM-S7),23,380
2021,Porsche,Two Seaters,2.0,4,Manual(M6),22,394
2021,Porsche,Two Seaters,2.0,4,Auto(AM-S7),24,375
2021,Porsche,Two Seaters,2.0,4,Manual(M6),22,394
2021,Porsche,Two Seaters,4.0,6,Auto(AM-S7),20,436
2021,Porsche,Two Seaters,4.0,6,Manual(M6),19,460
2021,Porsche,Two Seaters,4.0,6,Auto(AM-S7),21,418
2021,Porsche,Two Seaters,4.0,6,Manual(M6),19,458
2021,Porsche,Two Seaters,2.5,4,Auto(AM-S7),22,410
2021,Porsche,Two Seaters,2.5,4,Manual(M6),21,423
2021,Porsche,Two Seaters,2.0,4,Auto(AM-S7),23,380
2021,Porsche,Two Seaters,2.0,4,Manual(M6),22,394
2021,Porsche,Two Seaters,4.0,6,Auto(AM-S7),20,436
2021,Porsche,Two Seaters,4.0,6,Manual(M6),19,460
2021,BMW,Two Seaters,2.0,4,Auto(S8),28,321
2021,BMW,Two Seaters,3.0,6,Auto(S8),25,351
2021,aston martin,Minicompact Cars,5.2,12,Auto(S8),18,497
2021,aston martin,Minicompact Cars,4.0,8,Auto(S8),20,431
2021,aston martin,Minicompact Cars,5.2,12,Auto(S8),17,522
2021,Volkswagen Group of,Minicompact Cars,4.0,8,Auto(AM-S8),19,468
2021,Volkswagen Group of,Minicompact Cars,6.0,12,Auto(AM-S8),15,601
2021,Ferrari,Minicompact Cars,3.9,8,Auto(AM7),18,485
2021,Ferrari,Minicompact Cars,3.9,8,Auto(AM8),19,471
2021,Toyota,Minicompact Cars,5.0,8,Auto(S10),18,489
2021,Lotus,Minicompact Cars,3.5,6,Auto(S6),20,438
2021,Lotus,Minicompact Cars,3.5,6,Manual(M6),20,441
2021,BMW,Minicompact Cars,1.5,3,Auto(AM-S7),31,280
2021,BMW,Minicompact Cars,1.5,3,Manual(M6),30,292
2021,BMW,Minicompact Cars,2.0,4,Auto(AM-S7),29,307
2021,BMW,Minicompact Cars,2.0,4,Manual(M6),26,336
2021,BMW,Minicompact Cars,2.0,4,Auto(S8),28,313
2021,Porsche,Minicompact Cars,3.0,6,Auto(AM-S8),20,443
2021,Porsche,Minicompact Cars,3.0,6,Auto(AM-S8),20,442
2021,Porsche,Minicompact Cars,3.0,6,Auto(AM-S8),20,443
2021,Porsche,Minicompact Cars,3.0,6,Auto(AM-S8),20,443
2021,Porsche,Minicompact Cars,3.0,6,Manual(M7),20,442
2021,Porsche,Minicompact Cars,3.0,6,Auto(AM-S8),20,439
2021,Porsche,Minicompact Cars,3.0,6,Manual(M7),20,452
2021,Porsche,Minicompact Cars,3.0,6,Auto(AM-S8),20,443
2021,Porsche,Minicompact Cars,3.0,6,Auto(AM-S8),20,441
2021,Porsche,Minicompact Cars,3.0,6,Manual(M7),21,425
2021,Porsche,Minicompact Cars,3.0,6,Auto(AM-S8),20,439
2021,Porsche,Minicompact Cars,3.0,6,Manual(M7),20,443
2021,Porsche,Minicompact Cars,3.0,6,Auto(AM-S8),20,442
2021,Porsche,Minicompact Cars,3.0,6,Auto(AM-S8),20,442
2021,Porsche,Minicompact Cars,3.0,6,Manual(M7),20,447
2021,Porsche,Minicompact Cars,3.7,6,Auto(AM-S8),17,516
2021,Porsche,Minicompact Cars,3.7,6,Auto(AM-S8),17,521
2021,Porsche,Minicompact Cars,3.7,6,Auto(AM-S8),17,517
2021,Porsche,Minicompact Cars,3.7,6,Auto(AM-S8),17,529
2021,Volkswagen Group of,Subcompact Cars,2.0,4,Auto(AM-S7),26,341
2021,Volkswagen Group of,Subcompact Cars,2.0,4,Auto(AM-S7),27,331
2021,Volkswagen Group of,Subcompact Cars,2.9,6,Auto(S8),20,432
2021,Volkswagen Group of,Subcompact Cars,3.0,6,Auto(S8),23,380
2021,Volkswagen Group of,Subcompact Cars,3.0,6,Auto(S8),22,393
2021,Volkswagen Group of,Subcompact Cars,2.0,4,Auto(AM-S7),26,344
2021,Volkswagen Group of,Subcompact Cars,2.5,5,Auto(AM-S7),24,373
2021,Volkswagen Group of,Subcompact Cars,2.0,4,Auto(AM-S7),25,354
2021,Volkswagen Group of,Subcompact Cars,4.0,8,Auto(AM-S8),19,468
2021,Volkswagen Group of,Subcompact Cars,6.0,12,Auto(AM-S8),15,586
2021,BMW,Subcompact Cars,2.0,4,Auto(S8),27,333
2021,BMW,Subcompact Cars,2.0,4,Auto(S8),28,321
2021,BMW,Subcompact Cars,2.0,4,Manual(M6),25,356
2021,BMW,Subcompact Cars,2.0,4,Auto(S8),24,366
2021,BMW,Subcompact Cars,2.0,4,Auto(S8),24,366
2021,BMW,Subcompact Cars,2.0,4,Auto(S8),27,326
2021,BMW,Subcompact Cars,2.0,4,Auto(S8),29,304
2021,BMW,Subcompact Cars,2.0,4,Auto(S8),27,325
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),25,360
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),25,347
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),23,387
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),23,387
2021,BMW,Subcompact Cars,3.0,6,Auto(AM-S7),19,472
2021,BMW,Subcompact Cars,3.0,6,Manual(M6),20,440
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),24,366
2021,BMW,Subcompact Cars,3.0,6,Manual(M6),21,410
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),24,366
2021,BMW,Subcompact Cars,3.0,6,Manual(M6),21,410
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),24,366
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),24,366
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),19,470
2021,BMW,Subcompact Cars,3.0,6,Manual(M6),19,472
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),26,338
2021,BMW,Subcompact Cars,3.0,6,Auto(S8),25,346
2021,BMW,Subcompact Cars,4.4,8,Auto(S8),17,520
